SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-4-2018,Single Family Residential,5514 Picardy Dr,Oakland,CA,94605,800000,4,2.0,Normandy Gardens,1650,3230,1926,14,485,,Sold,,,http://www.redfin.com/CA/Oakland/5514-Picardy-Dr-N-94605/home/1563765,EBRD/CCAR/Bay East,40815087,N,Y,37.7758372,-122.1905465
PAST SALE,April-16-2018,Multi-Family (2-4 Unit),2812 76th Ave,Oakland,CA,94605,555000,4,3.0,Eastmont Area,2576,4068,1940,2,215,,Sold,,,http://www.redfin.com/CA/Oakland/2812-76th-Ave-94605/home/2036652,EBRD/CCAR/Bay East,40808499,N,Y,37.7676677,-122.1692611
PAST SALE,September-5-2017,Single Family Residential,4009 Malcolm Ave,Oakland,CA,94605,740000,3,2.5,Chabot Park,1948,9086,1960,225,380,,Sold,,,http://www.redfin.com/CA/Oakland/4009-Malcolm-Ave-94605/home/1993133,EBRD/CCAR/Bay East,40787391,N,Y,37.7508081,-122.134996
PAST SALE,July-1-2017,Single Family Residential,8301 Aster Ave,Oakland,CA,94605,760000,4,2.0,Oakland,2354,6962,1938,291,323,,Sold,,,http://www.redfin.com/CA/Oakland/8301-Aster-Ave-94605/home/1417868,EBRD/CCAR/Bay East,40781777,N,Y,37.764025,-122.160524
PAST SALE,May-10-2017,Condo/Co-op,6144 Old Quarry Loop,Oakland,CA,94605,505000,2,2.0,East Oakl Hills,1079,,2007,343,468,282,Sold,,,http://www.redfin.com/CA/Oakland/6144-Old-Quarry-Loop-94605/home/21670339,EBRD/CCAR/Bay East,40775089,N,Y,37.778864,-122.165009
PAST SALE,November-17-2017,Single Family Residential,7841 Surrey Ln,Oakland,CA,94605,823000,4,3.0,Sequoyah,2442,8400,1970,152,337,,Sold,,,http://www.redfin.com/CA/Oakland/7841-Surrey-Ln-94605/home/592451,EBRD/CCAR/Bay East,40790031,N,Y,37.7765009,-122.1385228
PAST SALE,October-27-2017,Single Family Residential,4751 Dunkirk Ave,Oakland,CA,94605,810000,3,2.0,Grass Valley,1524,6912,1956,173,531,,Sold,,,http://www.redfin.com/CA/Oakland/4751-Dunkirk-Ave-94605/home/661538,EBRD/CCAR/Bay East,40797923,N,Y,37.7534482,-122.1243484
PAST SALE,February-28-2018,Townhouse,6129 Old Quarry,Oakland,CA,94605,680000,3,3.0,Oakland,1800,,2006,49,378,350,Sold,,,http://www.redfin.com/CA/Oakland/6129-Old-Quarry-Loop-94605/home/12115918,San Francisco MLS,466352,N,Y,37.778179,-122.164087
PAST SALE,October-4-2016,Single Family Residential,3240 62ND Ave,Oakland,CA,94605,530000,2,1.0,Millsmont Area,1024,4440,1928,561,518,,Sold,,,http://www.redfin.com/CA/Oakland/3240-62nd-Ave-94605/home/1925170,EBRD/CCAR/Bay East,40754913,N,Y,37.7745968,-122.1815561
PAST SALE,July-6-2017,Single Family Residential,3101 Partridge Ave,Oakland,CA,94605,675000,4,2.0,King Estates,1442,4564,1939,286,468,,Sold,,,http://www.redfin.com/CA/Oakland/3101-Partridge-Ave-94605/home/2040553,EBRD/CCAR/Bay East,40783448,N,Y,37.7653356,-122.1618545
